id,latitude,longitude,neighbourhood,room_type,bedrooms,cleaning_fee,security_deposit,Free_parking_on_premises,extra_people,Pool,Dryer,m2,reviews_per_month,Hot_tub,Air_conditioning,Crib,Washer,Dishwasher,Suitable_for_events,property_type,Full_kitchen,Internet,Bathtub,Cable_TV,price
11777053,-22.92976,-43.17546,2,0,2.0,150.0,1200.0,0,25.0,0,1,11099.0,1.59,0,1,0,1,0,0,1,0,1,0,1,227.0
11780493,-22.96088,-43.17011,15,0,3.0,200.0,3500.0,1,1000.0,0,1,12211.0,0.37,1,1,0,1,0,0,2,0,1,0,0,1201.0
11793290,-22.983810000000002,-43.21463,1,0,2.0,195.0,980.0,1,0.0,0,0,20908.0,1.98,0,1,0,1,0,0,0,0,0,0,1,374.0
11796847,-23.0086,-43.45793,12,0,3.0,240.0,400.0,1,0.0,1,0,6120.0,0.48,1,1,0,1,0,0,0,0,1,0,0,164.0
11801963,-22.97441,-43.18693,0,0,3.0,0.0,0.0,1,60.0,0,0,12169.0,0.15,0,1,0,1,0,0,1,0,0,0,1,500.0
11811610,-22.98001,-43.41555,7,0,2.0,200.0,1000.0,1,100.0,1,0,9334.0,0.57,0,1,0,1,0,0,1,0,0,0,1,202.0
11837354,-22.984189999999998,-43.1933,0,0,4.0,300.0,0.0,0,150.0,0,0,12169.0,0.32,0,0,0,1,0,0,1,0,1,0,1,1998.0
11841361,-22.99496,-43.35041,7,0,3.0,700.0,1600.0,1,88.0,1,0,9334.0,0.05,1,1,0,1,0,1,1,0,1,0,1,5500.0
11842110,-22.9834,-43.19275,0,0,1.0,140.0,0.0,0,50.0,0,0,12169.0,0.64,0,1,0,0,0,0,1,0,1,0,1,281.0
11842628,-22.972360000000002,-43.185829999999996,0,0,4.0,170.0,1000.0,0,0.0,0,0,12169.0,0.08,0,1,0,1,0,0,1,0,1,0,0,999.0
11843989,-22.9099,-43.17398,14,0,2.0,100.0,1500.0,0,150.0,0,0,7660.0,0.33,0,0,0,1,0,0,1,0,1,0,1,348.0
11848108,-22.97765,-43.18885,0,0,4.0,0.0,0.0,0,50.0,0,0,12169.0,0.09,0,1,0,1,0,0,1,0,1,0,0,600.0
11850091,-22.98476,-43.19715,1,0,2.0,252.0,1155.0,0,0.0,0,1,20908.0,0.2,0,1,0,1,0,0,0,0,1,0,1,567.0
11857352,-23.00919,-43.43551,7,0,1.0,150.0,400.0,1,16.0,1,0,9334.0,0.19,0,1,0,1,0,0,1,0,0,0,1,252.0
11860047,-23.03065,-43.47716,12,0,1.0,100.0,2000.0,1,0.0,1,1,6120.0,0.17,1,1,0,1,0,0,3,0,1,0,1,550.0
11860466,-22.962970000000002,-43.16711,15,0,2.0,200.0,900.0,0,19.0,0,0,12211.0,0.93,0,0,1,1,0,0,1,0,1,0,1,340.0
